screen_size,ROM,RAM,n_rear_cam,n_front_cam,battery_c,ratings,n_ratings,sales_p,discount_p,sales_idx
Large,128,8,3,1,5000,4.3,5485,20149,0.08,11.05
Large,128,8,3,1,5000,4.3,5485,20149,0.08,11.05
Medium,128,6,3,1,4300,4.1,19,25999,0.03,0.05
Medium,128,8,3,1,4300,4.3,105,27999,0.06,0.29
Medium,256,8,3,1,4300,4.3,105,29999,0.06,0.31
Medium,256,8,3,1,4300,4.3,105,29999,0.06,0.31
Medium,128,6,3,1,4300,4.1,19,25999,0.03,0.05
Medium,128,8,3,1,4500,4.3,3684,27149,0.09,10.0
Medium,128,8,3,1,4500,4.3,3684,27149,0.09,10.0
Medium,256,12,3,1,4500,4.3,1282,30149,0.08,3.87
Medium,256,12,3,1,4500,4.3,1282,30149,0.08,3.87
Medium,128,8,3,1,4500,4.3,3684,27149,0.09,10.0
Medium,256,12,3,1,4500,4.3,1282,30149,0.08,3.87
Medium,128,8,3,1,4500,4.3,50,37999,0.07,0.19
Large,128,8,4,1,5000,4.3,21670,17999,0.14,39.0
Medium,128,8,4,1,4035,4.5,13460,16999,0.05,22.88
Medium,64,6,4,1,4035,4.5,19347,14999,0.06,29.02
Medium,32,3,2,1,4230,4.4,50098,8499,0.05,42.58
Medium,32,3,2,1,4230,4.4,50098,8499,0.05,42.58
Large,64,6,4,1,4500,4.3,53254,14999,0.11,79.88
Medium,128,8,4,1,4500,4.3,8006,21999,0.04,17.61
Medium,128,8,4,1,4500,4.3,8006,21999,0.04,17.61
Medium,64,4,2,1,4230,4.4,13150,10499,0.04,13.81
Medium,64,4,2,1,4230,4.4,13150,10499,0.04,13.81
Large,128,8,4,2,4200,4.3,1746,27999,0.06,4.89
Large,256,8,4,2,4200,4.3,1746,29999,0.06,5.24
Medium,128,8,3,1,4500,4.3,50,37999,0.07,0.19
Medium,64,4,4,1,4035,4.5,24439,13999,0.06,34.21
Large,128,8,4,1,4500,4.3,5552,30149,0.08,16.74
Medium,16,2,2,1,4000,4.4,226996,6499,0.07,147.52
Medium,256,12,3,1,4500,4.3,81,41999,0.04,0.34
Large,128,8,4,2,4200,4.4,1705,25999,0.07,4.43
Large,128,8,4,1,4500,4.3,5552,30149,0.08,16.74
Large,64,6,4,1,4300,4.4,62198,14999,0.16,93.29
Medium,32,2,2,1,4000,4.4,226996,6999,0.12,158.87
Medium,32,3,2,1,4000,4.4,35954,7499,0.16,26.96
Large,256,12,4,2,4200,4.2,459,32999,0.05,1.51
Large,256,12,4,2,4200,4.2,459,32999,0.05,1.51
Large,256,8,4,2,4200,4.3,1746,29999,0.06,5.24
Large,128,8,4,1,4300,4.4,17621,16999,0.05,29.95
Large,64,4,4,1,4300,4.4,60019,12999,0.13,78.02
Large,64,6,4,1,4300,4.4,62198,14999,0.16,93.29
Large,64,4,2,1,6000,4.3,29744,10499,0.04,31.23
Large,64,4,2,1,6000,4.3,29744,10499,0.04,31.23
Large,32,3,2,1,6000,4.3,28794,8999,0.1,25.91
Large,64,4,4,1,6000,4.4,30295,10999,0.15,33.32
Large,64,4,4,1,6000,4.4,30295,10999,0.15,33.32
Medium,128,6,4,1,4500,4.3,10126,18149,0.09,18.38
Large,64,4,3,1,6000,4.4,10005,9999,0.09,10.0
Medium,128,4,4,1,5000,4.3,11039,15999,0.05,17.66
Large,64,4,3,1,6000,4.4,10005,9999,0.09,10.0
Large,32,3,4,1,6000,4.3,13423,9999,0.16,13.42
Medium,128,8,4,1,4500,4.4,4624,20149,0.08,9.32
Medium,128,6,4,1,4500,4.3,10126,18149,0.09,18.38
Large,128,4,3,1,6000,4.4,10005,10999,0.08,11.0
Large,128,4,3,1,6000,4.4,10005,10999,0.08,11.0
Medium,128,6,3,1,4310,4.3,14204,19999,0.09,28.41
Large,32,3,3,1,6000,4.4,155242,8999,0.18,139.7
Medium,128,8,3,1,4310,4.3,4907,22149,0.07,10.87
Medium,64,4,2,1,4230,4.4,13150,10499,0.04,13.81
Medium,128,8,4,1,4035,4.5,13460,16999,0.05,22.88
Medium,32,3,2,1,4230,4.4,50098,8499,0.05,42.58
Medium,128,6,4,1,4500,4.4,15407,19999,0.04,30.81
Large,128,8,4,1,5000,4.3,21670,17999,0.14,39.0
Medium,128,6,4,1,4500,4.4,15407,19999,0.04,30.81
Medium,128,8,4,1,4500,4.3,8006,21999,0.04,17.61
Medium,128,6,4,1,4500,4.4,15407,19999,0.04,30.81
Medium,64,6,4,1,4035,4.5,19347,14999,0.06,29.02
Medium,64,6,4,1,4035,4.5,19347,14999,0.06,29.02
Large,64,6,4,1,5000,4.3,64636,14999,0.16,96.95
Large,128,8,4,1,4500,4.3,24632,16999,0.1,41.87
Large,128,8,4,2,4200,4.3,1746,27999,0.06,4.89
Large,128,6,4,2,4200,4.4,286,24999,0.07,0.71
Large,64,4,3,1,6000,4.3,124100,10499,0.19,130.29
Large,64,4,3,1,6000,4.3,124100,10499,0.19,130.29
Large,128,4,3,1,6000,4.3,124100,11499,0.17,142.7
Large,64,4,3,1,5000,4.5,28927,9999,0.09,28.92
Large,128,6,4,2,4200,4.4,286,24999,0.07,0.71
Large,128,4,3,1,6000,4.3,124100,11499,0.17,142.7
Medium,16,2,2,1,4000,4.4,226996,6499,0.07,147.52
Large,32,3,3,1,5000,4.5,17875,8999,0.1,16.09
Large,32,3,3,1,5000,4.5,17875,8999,0.1,16.09
Large,32,3,3,1,5000,4.3,38710,8499,0.22,32.9
Large,128,4,4,1,5000,4.5,89909,11999,0.07,107.88
Large,128,4,4,1,5000,4.5,89909,11999,0.07,107.88
Large,64,4,3,1,5000,4.4,102776,9499,0.2,97.63
Medium,64,4,4,1,6000,4.3,3793,12999,0.13,4.93
Medium,64,4,4,1,6000,4.3,3793,12999,0.13,4.93
Medium,128,6,4,1,6000,4.3,1545,14999,0.11,2.32
Medium,128,6,4,1,6000,4.3,1545,14999,0.11,2.32
Large,64,4,4,1,6000,4.2,15016,11499,0.11,17.27
Large,64,4,4,1,6000,4.2,15016,11499,0.11,17.27
Large,32,3,3,1,5000,4.2,378,9569,0.07,0.36
Large,32,2,2,1,5000,4.0,213,8278,0.01,0.18
Medium,128,6,4,1,5000,4.3,262,18499,0.09,0.48
Large,128,4,4,1,6000,4.2,15016,12499,0.1,18.77
Large,64,4,4,1,6000,4.2,15016,11499,0.11,17.27
Large,128,4,4,1,6000,4.2,15016,12499,0.1,18.77
Large,128,8,4,1,4500,4.5,16,37499,0.08,0.06
Medium,64,4,4,1,6000,4.2,95,14750,0.07,0.14
Large,128,4,4,1,6000,4.2,15016,12499,0.1,18.77
Large,256,8,2,1,3300,4.3,8,88999,0.11,0.07
Large,32,2,2,1,5000,4.0,213,8238,0.01,0.18
Large,128,8,3,1,5000,4.2,26,21999,0.08,0.06
Large,128,6,4,1,5000,4.2,1143,17499,0.07,2.0
Large,64,4,3,1,5000,4.2,23,12499,0.13,0.03
Medium,128,6,4,1,6000,4.3,5029,17599,0.01,8.85
Medium,128,8,4,1,6000,4.3,857,18666,0.01,1.6
Large,128,8,4,1,4000,4.3,930,22499,0.25,2.09
Large,128,8,4,1,5000,4.3,126,34225,0.02,0.43
